time_sec,speed_mph,distance_m,acceleration_mps2
0,0.399587522,20,0.535894817
1,1.598350087,20.01786316,0.669868521
2,3.396493935,20.0893158,0.982473831
3,5.993812826,20.24115267,1.384394944
4,9.590100522,20.50910008,1.741658156
5,13.7857695,20.93781593,1.87563186
6,17.98143848,21.55409497,1.920289762
7,22.37690122,22.3579372,1.920289762
8,26.5725702,23.35827419,1.741658155
9,30.16885789,24.54617437,1.429052844
10,32.96597054,25.89484299,1.116447535
11,35.16370191,27.36855374,0.803842227
12,36.56225824,28.94051187,0.535894817
13,37.56122704,30.57499106,0.357263212
14,38.16060833,32.25412815,0.223289508
15,38.56019585,33.96005999,0.178631605
16,38.95978337,35.68385498,0.223289506
17,39.55916465,37.42551314,0.223289506
18,39.95875217,39.19396603,0.178631607
19,40.3583397,40.98028209,0.133973706
20,40.55813346,42.78446131,0.044657901
21,40.55813346,44.59757211,-0.044657901
22,40.3583397,46.41068291,-0.089315805
23,40.15854593,48.21486212,-0.089315805
24,39.95875217,50.01010976,-0.044657901
25,39.95875217,51.79642582,-0.044657901
26,39.75895841,53.58274188,-0.089315802
27,39.55916465,55.36012635,-0.133973704
28,39.15957713,57.12857925,-0.223289506
29,38.56019585,58.87916898,-0.312605311
30,37.7610208,60.60296398,-0.357263212
31,36.96184576,62.29103265,-0.401921111
32,35.96287696,63.94337501,-0.401921113
33,35.16370191,65.55105946,-0.312605311
34,34.56432063,67.12301759,-0.223289506
35,34.16473311,68.66818098,-0.133973704
36,33.96493935,70.19548121,-0.044657901
37,33.96493935,71.71384986,0.044657901
38,34.16473311,73.2322185,0.133973704
39,34.56432063,74.75951873,0.178631605
40,34.96390815,76.30468212,0.178631605
41,35.36349567,77.86770867,0.178631607
42,35.7630832,79.44859838,0.133973706
43,35.96287696,81.04735125,0.089315802
44,36.16267072,82.65503571,0.089315802
45,36.36246448,84.27165174,0.089315802
46,36.56225824,85.89719935,0.089315802
47,36.762052,87.53167854,0.133973704
48,37.16163952,89.17508931,0.178631605
49,37.56122704,90.83636325,0.178631607
50,37.96081457,92.51550034,0.178631607
51,38.36040209,94.2125006,0.178631605
52,38.75998961,95.92736401,0.133973704
53,38.95978337,97.66009059,0.044657901
54,38.95978337,99.40174874,0
55,38.95978337,101.1434069,-0.044657901
56,38.75998961,102.8850651,-0.089315802
57,38.56019585,104.6177916,-0.089315802
58,38.36040209,106.3415866,-0.133973704
59,37.96081457,108.05645,-0.178631607
60,37.56122704,109.7534503,-0.133973706
61,37.36143328,111.4325874,-0.133973704
62,36.96184576,113.1027929,-0.178631605
63,36.56225824,114.7551353,-0.178631605
64,36.16267072,116.3896144,-0.223289508
65,35.56328943,118.0062305,-0.26794741
66,34.96390815,119.5960518,-0.223289506
67,34.56432063,121.1590783,-0.178631605
68,34.16473311,122.7042417,-0.133973704
69,33.96493935,124.2315419,0
70,34.16473311,125.7499106,0.133973704
71,34.56432063,127.2772108,0.223289506
72,35.16370191,128.8223742,0.26794741
73,35.7630832,130.3943323,0.312605311
74,36.56225824,131.9930852,0.312605309
75,37.16163952,133.6275644,0.223289506
76,37.56122704,135.2888383,0.133973704
77,37.7610208,136.9679754,0.089315805
78,37.96081457,138.6560441,0.044657903
79,37.96081457,140.3530444,0
80,37.96081457,142.0500446,0
81,37.96081457,143.7470449,0
82,37.96081457,145.4440451,-0.044657903
83,37.7610208,147.1410454,-0.133973706
84,37.36143328,148.829114,-0.223289506
85,36.762052,150.4993196,-0.312605309
86,35.96287696,152.1427303,-0.357263212
87,35.16370191,153.7504148,-0.312605311
